"geographicAreaM49","measuredElement","measuredItemCPC","fbsDistribParam","timePointYears","Value"
"106",121,"1016","logmu",2009,10.9920681854105
"106",141,"1020","logmu",2009,9.38263027297643
"106",121,"1034","logmu",2009,14.1419511387918
"106",111,"1062","logmu",2009,10.598037454928
"106",121,"1062","logmu",2009,7.56555299576409
"106",141,"1062","logmu",2009,13.5313708418866
"106",111,"108","logmu",2009,8.40180101996471
"106",121,"108","logmu",2009,NA
"106",111,"116","logmu",2009,12.0012187033857
"106",121,"116","logmu",2009,10.7484557348903
"106",141,"116","logmu",2009,14.4334473567055
"106",141,"1163","logmu",2009,6.90171564445797
"106",141,"1166","logmu",2009,10.2327099747382
"106",141,"1182","logmu",2009,9.9883114277551
"106",141,"119","logmu",2009,8.50716153562253
"106",121,"122","logmu",2009,4.08431290642839
"106",141,"122","logmu",2009,9.59093087742087
"106",111,"15","logmu",2009,12.9568468187702
"106",121,"15","logmu",2009,10.3631469771499
"106",121,"157","logmu",2009,10.7043861129587
"106",111,"176","logmu",2009,8.28401798430832
"106",121,"176","logmu",2009,8.35956135435683
"106",141,"176","logmu",2009,11.4428477949344
"106",111,"181","logmu",2009,9.38263027297643
"106",121,"181","logmu",2009,8.54233561063018
"106",141,"181","logmu",2009,11.3975332935187
"106",111,"187","logmu",2009,7.08004517998239
"106",121,"187","logmu",2009,7.88949281623849
"106",141,"187","logmu",2009,11.2934682346905
"106",111,"191","logmu",2009,6.20457644262849
"106",121,"191","logmu",2009,6.39674931877347
"106",141,"191","logmu",2009,10.1772451520038
"106",111,"201","logmu",2009,4.89524312264472
"106",121,"201","logmu",2009,6.43295427118113
"106",141,"201","logmu",2009,10.2720882036896
"106",111,"205","logmu",2009,5.98143289131428
"106",121,"205","logmu",2009,5.84790149868975
"106",111,"210","logmu",2009,5.69375081886249
"106",121,"210","logmu",2009,4.59513853019439
"106",111,"211","logmu",2009,4.50082785072314
"106",121,"211","logmu",2009,4.65698593352047
"106",121,"223","logmu",2009,6.49664886338156
"106",141,"223","logmu",2009,9.3795756122472
"106",141,"229","logmu",2009,6.32147019409998
"106",141,"230","logmu",2009,7.96174446708692
"106",121,"234","logmu",2009,6.62617733264605
"106",111,"236","logmu",2009,9.89345589674242
"106",121,"236","logmu",2009,11.1824956889581
"106",111,"242","logmu",2009,NA
"106",121,"249","logmu",2009,4.80685706383913
"106",141,"249","logmu",2009,7.80695751402731
"106",141,"257","logmu",2009,10.5866030773024
"106",121,"260","logmu",2009,12.1641064677061
"106",141,"260","logmu",2009,11.1245573684566
"106",111,"267","logmu",2009,7.3031887312966
"106",121,"267","logmu",2009,8.50716153562253
"106",111,"27","logmu",2009,10.8003425485413
"106",111,"270","logmu",2009,6.20457644262849
"106",121,"270","logmu",2009,7.48551028809055
"106",111,"289","logmu",2009,0.647488347123088
"106",121,"289","logmu",2009,6.91563230123172
"106",111,"292","logmu",2009,NA
